Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),m^2 land use/kg product,Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,m^2 land use/kg product / 100g,GHG Only Label,Combined Label,RED,YELLOW,GREEN
,,R-37078,SQR|CarvedRoastBeef +2,OK - SQUARE MEAL,475.0,8991.062921527833,73.00486108743597,26945.18697150412,360.5,13578.18,1892.86,15.37,75.89,2858.56,5672.67,Red,Red,TRUE,,
,,R-28362,SQR|CarvedRoastBeef 125g,OK - SQUARE MEAL,185.0,8645.590032465132,68.87047070688028,26443.983617776845,350.46,12804.63,4673.29,37.23,189.44,6921.42,14294.05,Red,Red,TRUE,,
,,R-38518,SQR|Citrus Cous-Cous 170g,OK - SQUARE MEAL,170.0,140.85145377699214,1.1961450685976174,473.6894770001626,31.23,960.76,82.85,0.7,18.37,565.15,278.64,Green,Green,,,TRUE
,,R-42351,SQR|CurriedSpaghettiSquash200g,OK - SQUARE MEAL,200.0,134.39297936901525,1.780792844721564,369.3553198133801,15.08,543.67,67.2,0.89,7.54,271.83,184.68,Green,Green,,,TRUE
,,R-44963,SQR|Dijon&HerbSpaetzle 200g,OK - SQUARE MEAL,202.0,180.65142959183672,1.4620532312925167,595.5169387755102,38.47,1244.25,89.43,0.72,19.04,615.97,294.81,Green,Green,,,TRUE
,,R-38517,SQR|LemonRosemaryChicken 115g,OK - SQUARE MEAL,175.0,946.4523792496018,16.638490308742576,1943.6913526225944,52.28,1581.11,540.83,9.51,29.87,903.49,1110.68,Red,Red,TRUE,,
,,R-38621,SQR|LemonRosemaryChicken+1,OK - SQUARE MEAL,310.0,1077.2525100742369,18.445174201900844,2277.9565567996838,69.26,2081.78,347.5,5.95,22.34,671.54,734.82,Yellow,Yellow,,TRUE,
,,R-38633,SQR|LemonRosemaryChicken+2,OK - SQUARE MEAL,445.0,1208.0526408988717,20.25185809505912,2612.2217609767736,86.24,2582.45,271.47,4.55,19.38,580.33,587.02,Yellow,Yellow,,TRUE,
,,R-33889,SQR|PorkSchnitzel 115g,OK - SQUARE MEAL,175.0000287500072,1249.7670442883489,16.0104992494958,2609.4898492231105,212.94,6663.97,714.15,9.15,121.68,3807.98,1491.14,Red,Red,TRUE,,
,,R-34112,SQR|PorkSchnitzel&Gravy +1,OK - SQUARE MEAL,335.00002875000723,1399.842142654347,17.92719869862491,3022.0728711702363,233.82,7282.44,417.86,5.35,69.8,2173.86,902.11,Red,Red,TRUE,,
,,R-34113,SQR|PorkSchnitzel&Gravy+2,OK - SQUARE MEAL,495.00002875000723,1549.9172410203448,19.84389814775402,3434.655893117362,254.71,7900.91,313.11,4.01,51.46,1596.14,693.87,Yellow,Yellow,,TRUE,
,,R-51585,SQR|Roasted Garlic Bread,OK - SQUARE MEAL,80.0,216.72335863636494,2.0549973863636493,347.8837500000043,33.01,1433.55,270.9,2.57,41.26,1791.94,434.85,Yellow,Yellow,,TRUE,
,,R-47302,SQR|Roasted Squash Penne,OK - SQUARE MEAL,300.0,500.43435863435235,4.802209763198782,1136.7441360857458,78.59,3221.37,166.81,1.6,26.2,1073.79,378.91,Green,Yellow,,TRUE,
,,R-37057,SQR|Roasted Squash Penne +1,OK - SQUARE MEAL,460.0,830.9473980183856,7.682345387379309,1576.9542700404654,93.69,4531.59,180.64,1.67,20.37,985.13,342.82,Green,Yellow,,TRUE,
,,R-37058,SQR|Roasted Squash Penne +2,OK - SQUARE MEAL,620.0,1161.4604374024186,10.562481011559836,2017.1644039951848,108.79,5841.81,187.33,1.7,17.55,942.23,325.35,Green,Yellow,,TRUE,
,,R-28393,SQR|RoastedSquashPenne,OK - SQUARE MEAL,300.0,500.43435863435235,4.802209763198782,1136.7441360857458,78.59,3221.37,166.81,1.6,26.2,1073.79,378.91,Green,Yellow,,TRUE,
,,R-51469,SQR|Salad|WarmCarrot,OK - SQUARE MEAL,150.0,93.69024041069704,1.313287114646324,179.48288291039725,10.36,618.56,62.46,0.88,6.91,412.37,119.66,Green,Green,,,TRUE
,,R-35799,SQR|STEW|Tomato Spanish 350g,OK - SQUARE MEAL,250.0,290.66063205558544,2.108267084924613,1197.2089787812786,12.68,656.51,116.26,0.84,5.07,262.6,478.88,Green,Green,,,TRUE
,,R-45125,SQR|STEW|Tomato Spanish+1,OK - SQUARE MEAL,410.0,407.93147914943,3.362983176546584,1523.7951587365585,33.47,1446.16,99.5,0.82,8.16,352.72,371.66,Green,Green,,,TRUE
,,R-45126,SQR|STEW|TomatoSpanish +2,OK - SQUARE MEAL,570.0,525.2023262432746,4.617699268168554,1850.3813386918382,54.26,2235.82,92.14,0.81,9.52,392.25,324.63,Green,Green,,,TRUE
,,R-51468,SQR|Tandoori Chicken Leg +1,OK - SQUARE MEAL,527.5,1779.385707236874,38.057158045779374,4028.641709167331,276.23,1762.26,337.32,7.21,52.37,334.08,763.72,Yellow,Yellow,,TRUE,
,,R-42368,SQR|Tandoori Chicken Leg +2,OK - SQUARE MEAL,650.0,1888.9254531331885,39.24024184454012,4316.476885898158,295.37,2410.72,290.6,6.04,45.44,370.88,664.07,Yellow,Yellow,,TRUE,
,,R-51467,SQR|Tandoori Chicken Leg 225g,OK - SQUARE MEAL,405.0,1669.8459613405594,36.874074247018626,3740.8065324365043,257.1,1113.8,412.31,9.1,63.48,275.01,923.66,Red,Red,TRUE,,
,,R-45164,"SQR|Tofu""Schnitzel""+1",OK - SQUARE MEAL,370.0,802.5846045014407,7.715939875701078,1845.7266482037985,87.06,2859.94,216.91,2.09,23.53,772.96,498.85,Yellow,Yellow,,TRUE,
,,R-45165,"SQR|Tofu""Schnitzel""+2",OK - SQUARE MEAL,535.0,958.3813514982787,9.739220394287093,2268.750049530872,108.21,3484.81,179.14,1.82,20.23,651.37,424.07,Green,Green,,,TRUE
,,R-37083,SQR|Vegetable Lasagna+1,OK - SQUARE MEAL,414.75,1125.181637685029,11.140373278463722,1894.9138524836524,173.64,8293.1,271.29,2.69,41.87,1999.54,456.88,Yellow,Yellow,,TRUE,
,,R-37084,SQR|Vegetable Lasagna+2,OK - SQUARE MEAL,527.5,1375.8229265827695,13.285251083369177,2446.730363593219,206.92,9768.53,260.82,2.52,39.23,1851.85,463.84,Yellow,Yellow,,TRUE,
,,R-28396,SQR|Vegetarian Lasagna 250g,OK - SQUARE MEAL,302.0,874.5403487872882,8.995495473558268,1343.097341374086,140.36,6817.66,289.58,2.98,46.48,2257.5,444.73,Yellow,Yellow,,TRUE,
,,R-28398,GRL|Potato|Roasted 150g,OK - GRILL KITCHEN BREAKFAST,150.0,66.17023998542274,0.8110926749271138,89.3223335276968,0.43,12.72,44.11,0.54,0.29,8.48,59.55,Green,Green,,,TRUE
,,R-50420,SQR|CajunTurkeyBreast 125g,OK - SQUARE MEAL,150.0,1159.1263719387757,23.218222551020407,2762.7926020408163,89.45,1202.44,772.75,15.48,59.63,801.63,1841.86,Red,Red,TRUE,,
,,R-51476,SQR|CajunTurkeyBreast+1,OK - SQUARE MEAL,295.0,1331.8628164701263,25.28541774129825,3013.394278904454,94.47,1589.22,451.48,8.57,32.02,538.72,1021.49,Red,Red,TRUE,,
,,R-51478,SQR|CajunTurkeyBreast+2,OK - SQUARE MEAL,440.0,1504.5992610014764,27.352612931576093,3263.995955768092,99.49,1975.99,341.95,6.22,22.61,449.09,741.82,Yellow,Yellow,,TRUE,
,,R-37081,SQR|House Roast Chicken+1,OK - SQUARE MEAL,380.0,1474.219017769593,35.05336933395727,3641.94306936472,113.23,794.8,387.95,9.22,29.8,209.16,958.41,Red,Red,TRUE,,
,,R-37082,SQR|House Roast Chicken+2,OK - SQUARE MEAL,535.0,1666.0025667891857,37.21632851166453,3920.78457622944,119.7,1317.95,311.4,6.96,22.37,246.35,732.86,Yellow,Yellow,,TRUE,
,,R-28355,SQR|House Roasted Chicken 200g,OK - SQUARE MEAL,225.0,1282.43546875,32.89041015625,3363.1015625,106.76,271.64,569.97,14.62,47.45,120.73,1494.71,Red,Red,TRUE,,
,,R-35910,SQR|PASTA|SundriedTomato 250g,OK - SQUARE MEAL,266.0,430.5236134384703,3.3058060572724957,1222.7513538574062,70.63,2897.31,161.85,1.24,26.55,1089.21,459.68,Green,Yellow,,TRUE,
,,R-51471,SQR|PASTA|SundriedTomato+1,OK - SQUARE MEAL,366.0,607.5450763267324,5.612277583937172,1521.9777814167792,90.34,3690.9,166.0,1.53,24.68,1008.44,415.84,Green,Yellow,,TRUE,
,,R-51472,SQR|PASTA|SundriedTomato+2,OK - SQUARE MEAL,466.0,784.5665392149946,7.9187491106018495,1821.2042089761517,110.05,4484.48,168.36,1.7,23.62,962.33,390.82,Green,Yellow,,TRUE,
,,R-50727,SQR|Pork Loin|Dijon 125g,OK - SQUARE MEAL,185.0,1533.0839011764704,19.68849823529412,3342.9518823529415,271.97,8028.13,828.69,10.64,147.01,4339.53,1807.0,Red,Red,TRUE,,
,,R-51473,SQR|Pork Loin|Dijon+1,OK - SQUARE MEAL,330.0,1683.4158193377411,20.923033712089108,3587.8023906572084,275.7,8427.96,510.13,6.34,83.55,2553.93,1087.21,Red,Red,TRUE,,
,,R-51474,SQR|Pork Loin|Dijon+2,OK - SQUARE MEAL,475.0,1833.7477374990121,22.1575691888841,3832.652898961476,279.43,8827.79,386.05,4.66,58.83,1858.48,806.87,Red,Red,TRUE,,
,,R-32313,SQR|Potatoes|Roasted 150g,OK - SQUARE MEAL,150.0,66.17023998542274,0.8110926749271138,89.3223335276968,0.43,12.72,44.11,0.54,0.29,8.48,59.55,Green,Green,,,TRUE
,,R-51475,SQR|SAUCE|Apple 125ml,OK - SQUARE MEAL,125.0,56.573874999999994,0.2716875,91.1375,11.66,104.19,45.26,0.22,9.33,83.35,72.91,Green,Green,,,TRUE
