Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),m^2 land use/kg product,Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,m^2 land use/kg product / 100g,GHG Only Label,Combined Label,RED,YELLOW,GREEN
Fresh Fare PM , Curried Chickpea Bowl,R-32886,VEG|Curried Chickpea Bowl,OK - VEGETARIAN KITCHEN,470.50000000000045,736.7206304342684,3.8981443210090543,3360.0217221268363,152.2,2148.05,156.58,0.83,32.35,456.55,714.14,Green,Green,,,TRUE
,,R-50526,VEG|FrenchToast|PeachCompote,OK- VEGETARIAN KITCHEN FEATURE,359.50000000000017,675.4516256989273,9.044177777777803,1344.7535913978577,105.85,3227.8,187.89,2.52,29.44,897.86,374.06,Green,Yellow,,TRUE,
,,R-27383,VEG|Incredibowl,OK - VEGETARIAN KITCHEN,335.1,273.0451179142703,1.4973272097204062,863.0034968414743,78.86,3587.82,81.48,0.45,23.53,1070.67,257.54,Green,Green,,,TRUE
,,R-25415,VEG|King Oyster Mushroom Bowl,OK - VEGETARIAN KITCHEN,435.0,371.831498341301,3.0697563052710986,1251.1434196036448,65.25,1456.38,85.48,0.71,15.0,334.8,287.62,Green,Green,,,TRUE
,,R-35515,VEG|LentilSloppy,OK- VEGETARIAN KITCHEN FEATURE,476.0000000000012,507.04862772856086,4.136722657707663,1754.936207376337,79.93,3371.82,106.52,0.87,16.79,708.37,368.68,Green,Green,,,TRUE
,,R-35782,VEG|MIso Glazed Veg Bowl,OK- VEGETARIAN KITCHEN FEATURE,375.0,332.0943018945279,2.303472275283464,700.7636949750896,75.25,871.53,88.56,0.61,20.07,232.41,186.87,Green,Green,,,TRUE
,,R-50556,VEG|Omelet|Mushroom Cheddar,OK - VEGETARIAN KITCHEN,266.097,970.9041746761358,13.277008757998447,2034.674314833144,149.07,5144.93,364.87,4.99,56.02,1933.48,764.64,Yellow,Red,TRUE,,
,,R-50555,VEG|Omelet|Spinach Goat Cheese,OK - VEGETARIAN KITCHEN,274.0,947.9291041112098,13.949193419106772,1615.071123927832,158.86,5664.88,345.96,5.09,57.98,2067.47,589.44,Yellow,Red,TRUE,,
,,R-50401,VEG|Platter|Mezze,OK- VEGETARIAN KITCHEN FEATURE,490.50000000000045,598.8812046207537,4.503670897715469,2244.3995417603023,73.42,2566.3,122.1,0.92,14.97,523.2,457.57,Green,Green,,,TRUE
,,R-50471,VEG|Porridge|Barley,OK - VEGETARIAN EVENTS,315.0,286.0562243870968,0.66986,271.07109677419356,161.1,494.09,90.81,0.21,51.14,156.85,86.05,Green,Green,,,TRUE
,,R-44604,VEG|RaspberryChiaBomb 160g,OK - VEGETARIAN KITCHEN,160.0,300.28802233766237,0.5508726753246753,608.515174025974,78.38,4969.86,187.68,0.34,48.99,3106.16,380.32,Green,Yellow,,TRUE,
,,R-52812,VEG|Roast Vegetable Quesadilla,OK - VEGETARIAN KITCHEN,380.00000000000017,1306.1481075559084,10.832305458371719,2223.459562458066,155.03,8653.53,343.72,2.85,40.8,2277.24,585.12,Yellow,Red,TRUE,,
,,R-46913,VEG|Roasted Veg Quesadilla,OK - VEGETARIAN KITCHEN,380.00000000000017,1306.1481075559084,10.832305458371719,2223.459562458066,155.03,8653.53,343.72,2.85,40.8,2277.24,585.12,Yellow,Red,TRUE,,
,,R-35319,VEG|SOUP|Miso Dumpling ,OK- VEGETARIAN KITCHEN FEATURE,643.0000000000002,245.57900616594895,1.9956506524120083,764.8519545794265,34.29,1093.77,38.19,0.31,5.33,170.1,118.95,Green,Green,,,TRUE
,,R-27405,VEG|Southwest Bowl,OK - VEGETARIAN KITCHEN,458.1,606.4116640444174,3.454490035435646,2169.0359139516927,100.17,1762.95,132.38,0.75,21.87,384.84,473.49,Green,Green,,,TRUE
,,R-37091,VEG|Sweet&SourTofu,OK - VEGETARIAN KITCHEN,494.0,615.1320354056801,2.681914688458216,1092.2166925004572,163.65,1183.99,124.52,0.54,33.13,239.67,221.1,Green,Green,,,TRUE
Fresh Fare PM , Tabbouleh Bowl,R-35461,VEG|Tabouleh Bowl,OK - VEGETARIAN KITCHEN,450.5000000000002,652.1097165042296,3.412578629525852,2350.4099955444376,158.23,8063.84,144.75,0.76,35.12,1789.98,521.73,Green,Yellow,,TRUE,
,,R-50858,ALF|Flatbread|Greek,OK - AL FORNO,200.0,597.9188363565654,5.916699262650887,951.1470347096883,81.94,3885.24,298.96,2.96,40.97,1942.62,475.57,Yellow,Yellow,,TRUE,
,,R-51942,CST|SAUCE|Green Onion Ginger,OK - CUSTOM KITCHEN,60.0,24.067170705240713,0.2141107854772857,68.95194284124284,0.43,20.42,40.11,0.36,0.72,34.03,114.92,Green,Green,,,TRUE
,,R-45371,CST|SAUCE|Teriyaki,OK - CUSTOM KITCHEN,60.0,25.432641789072374,0.12383204721508664,59.95180018103976,0.48,16.83,42.39,0.21,0.8,28.05,99.92,Green,Green,,,TRUE
Grill PM , Chili Dog,R-52133,GRL|Chili Dog|SP,FEAST,240.0000000000012,671.8942642111299,6.440216322304473,1675.6978777628246,114.72,4890.68,279.96,2.68,47.8,2037.78,698.21,Yellow,Yellow,,TRUE,
,,R-53084,GRL|Veg Burger|Ultimate,OK - GRILL KITCHEN DAY,408.0000000000012,565.6152184149204,5.29054522048515,1160.0391979887306,100.83,4072.75,138.63,1.3,24.71,998.22,284.32,Green,Green,,,TRUE
,,R-42127,GRL|Veggie Chili Dog|SP,FEAST,240.0000000000012,632.3021642111299,6.116616322304474,1553.3878777628242,113.05,4829.41,263.46,2.55,47.1,2012.25,647.24,Yellow,Yellow,,TRUE,
,,R-52215,HS|Thunderbird Chili Dog,OK - SQUARE MEAL,358.0000000000017,8408.878572305533,68.02447921033823,25071.28733573287,428.68,16394.28,2348.85,19.0,119.74,4579.41,7003.15,Red,Red,TRUE,,
,,R-45374,SAUCE|Red Thai Curry Ptn,OK - CUSTOM KITCHEN,60.0,21.425852400000004,0.05462767636363636,73.89745527272727,0.19,8.27,35.71,0.09,0.32,13.78,123.16,Green,Green,,,TRUE
,,R-45373,SAUCE|Spicy Korean BBQ ptn,OK - CUSTOM KITCHEN,60.0,24.460608450000006,0.08616581999999999,58.579824,0.38,15.23,40.77,0.14,0.63,25.38,97.63,Green,Green,,,TRUE
,,R-45370,SAUCE|Sweet Tamarind ptn,OK - CUSTOM KITCHEN,60.0,60.32351999999999,0.1688745,96.1434,0.57,13.5,100.54,0.28,0.95,22.5,160.24,Green,Green,,,TRUE
,,R-53067,SQR|Burrito Sweet Potato|POP,OK - SQUARE MEAL,510.0,649.6921850419819,3.7412339142805076,2129.717409343115,137.69,1467.49,127.39,0.73,27.0,287.74,417.59,Green,Green,,,TRUE
,,R-53089,SQR|Plant Based Enchiladas|POP,OK - SQUARE MEAL,532.0000054400077,570.9141011971769,3.8006516733669775,1971.072745966867,86.8,4523.37,107.31,0.71,16.32,850.26,370.5,Green,Green,,,TRUE
,,R-52217,SQR|Tbird Chili Pasta|4 way,OK - SQUARE MEAL,580.99999988,10220.876182510729,82.59815142452213,30075.116950366348,548.4,21696.47,1759.19,14.22,94.39,3734.33,5176.44,Red,Red,TRUE,,
,,R-52685,SQR|Thunderbird Chili Dog,OK - SQUARE MEAL,358.0000000000017,8408.878572305533,68.02447921033823,25071.28733573287,428.68,16394.28,2348.85,19.0,119.74,4579.41,7003.15,Red,Red,TRUE,,
