invoice_counter,invoice_num,invoice_total,item_num,qty,line_amount,adj_line_amount,uom,unit_cost,item_descrip,invoice_date,supplier_name,store_num,type_bill_credit,cost_over_ride,line_amount_qty,case_uom,supplier_num,prod_group_num,prod_group_descrip,order_code,compute_0022,pak_qty,case_qty,purchase_uom,cat_num,cat_descrip,has_credit,credit_pak_amount,Items_assign_category_ID,Category ID
251831,00023247,301.21,I-67291,1.0,12.0,12.0,ea,12.0,CK|EASTER|Cookeis Egg|6 ea,2023-04-03,1 - Production,27,B,N,6.0,CT,191,302,PRODUCTION FOOD,67290,N,1.0,6.0,ea,2,Food,N,0,,43.0
249668,1849244,3045.17,I-49855,101.52,1614.17,1614.17,lb,15.9,HALIBUT WHOLE (HEAD/GUTTED) OW,2023-03-21,INTERCITY PACKERS LTD (Albion),9,B,Y,101.52,lb,2,14,SEAFOOD,,N,1.0,1.0,lb,2,Food,Y,0,,12.0
249876,1848294,1796.04,I-19856,4.0,376.44,376.44,ea,94.11,PRAWN SKEWER 5PC OW 41/50,2023-03-16,INTERCITY PACKERS LTD (Albion),81,B,Y,4.0,ea,2,14,SEAFOOD,20000828,N,1.0,1.0,ea,2,Food,Y,0,,13.0
254903,1857041,1683.38,I-5106,112.3,1683.377,1683.377,lb,14.99,SAL ATL KUTERRA S/ON PBO OW,2023-04-10,INTERCITY PACKERS LTD (Albion),89,B,Y,112.3,lb,2,14,SEAFOOD,,N,1.0,1.0,lb,2,Food,N,0,,59.0
249084,IN161559,630.22,I-11173,1.0,74.74,74.74,cs,74.74,PEPPER BLK CRACKED,2023-03-07,FAR-MET IMPORTERS,81,B,N,2270.0,lb,107,18,SPICES,182017,N,454.0,5.0,cs,2,Food,N,0,,54.0
249480,2036658,733.2,I-26887,1.0,62.0,62.0,ea,62.0,SAKE,2023-03-06,WISMETTAC ASIAN FOODS,16,B,N,18.0,BIB 20L,125,76,"PACKAGED BEER, CIDER",283853,N,18.0,1.0,BIB 20L,8,"Liq,Wine,Beer ",N,0,,51.0
249846,9001238094,6740.16,I-6896,2.0,307.9,307.9,cs,153.95,CLEANER FLOOR MAXXX DUAL ACT,2023-03-20,GORDON FOOD SERVICE (GFS),81,B,N,2.0,JUG,26,22,CLEANING,1207714,N,1.0,1.0,cs,4,Misc. ,N,0,,61.0
248384,9001144506,4418.22,I-2016,1.0,220.74,220.74,JUG,220.74,CLEANER FLOORWASH N WALK,2023-03-09,GORDON FOOD SERVICE (GFS),51,B,N,1.0,JUG,26,22,CLEANING,1274305,N,1.0,1.0,JUG,4,Misc. ,N,0,,61.0
248247,9001132138,511.57,I-5365,1.0,105.12,105.12,cs,105.12,CLEANER GRILL GREASESTRIP PLUS,2023-03-08,GORDON FOOD SERVICE (GFS),17,B,Y,6.0,JUG,26,22,CLEANING,1127660,N,1.0,6.0,cs,4,Misc. ,N,0,,61.0
251813,9001447441,836.2,I-51500,1.0,162.11,162.11,cs,162.11,CLEANER TABLET CARE RINSE,2023-04-12,GORDON FOOD SERVICE (GFS),88,B,Y,150.0,un,26,22,CLEANING,1115080,N,1.0,150.0,cs,4,Misc. ,Y,0,,61.0
252241,144196,431.81,I-29517,12.0,29.2,29.2,box,2.4333,CLEANING TABLET CAFIZA ESPRSS ,2023-04-17,ETHICAL BEAN,51,B,Y,1200.0,ea,21,22,CLEANING,CLEANCAFTAB100,N,1.0,100.0,box,4,Misc. ,N,0,,61.0
249904,IN107888,390.42,I-2353,2.0,64.92,64.92,cs,32.46,"9""X6"" 2-COMPARTMENT CLAMSHELL",2023-03-20,MOSHE PAPER ,27,B,Y,500.0,CT,288,24,DISPOSABLES,A01-OME-B002,N,1.0,200.0,cs,4,Misc. ,N,0,,61.0
251781,650205,546.97,I-60374,2.0,244.69,244.69,cs,122.345,BOX T/O #8 KRAFT 6.87X5.5X2.5,2023-04-06,ENTERPRISE PAPER,2,B,N,600.0,CT,295,24,DISPOSABLES,1402732,N,1.0,300.0,cs,4,Misc. ,N,0,,61.0
249064,643636,577.85,I-5371,1.0,103.34,103.34,cs,103.34,CONT ECO HOT FOOD 8Z PLA LINED,2023-03-08,ENTERPRISE PAPER,27,B,N,1000.0,CT,295,24,DISPOSABLES,GCE80251,N,1.0,1000.0,cs,4,Misc. ,N,0,,61.0
250208,9001271330,3251.5,I-5465,2.0,195.2,195.2,cs,97.6,LINER BASKET BLK/WHT CHECK 12X,2023-03-23,GORDON FOOD SERVICE (GFS),51,B,Y,4000.0,CT,26,24,DISPOSABLES,135245,N,1.0,2000.0,cs,4,Misc. ,N,0,,61.0
250308,9001283316,7626.41,I-20435,1.0,27.99,27.99,cs,27.99,TISSUE FACIAL BOX WHT 2PLY 100,2023-03-24,GORDON FOOD SERVICE (GFS),9,B,N,36.0,pak,26,24,DISPOSABLES,6130405,N,1.0,36.0,cs,4,Misc. ,N,0,,61.0
248633,9001173791,2082.5,I-51854,3.0,283.83,283.83,cs,94.61,DETERGENT LAUNDRY HOMESTYLE ,2023-03-13,GORDON FOOD SERVICE (GFS),51,B,N,360.0,ea,26,40,SUPPLY,1379080,N,1.0,120.0,cs,4,Misc. ,N,0,,61.0
247877,9001094408,7899.82,I-5437,2.0,83.08,83.08,cs,41.54,GLOVE VINYL POWDER FREE L,2023-03-03,GORDON FOOD SERVICE (GFS),51,B,N,800.0,100UN,26,40,SUPPLY,1165163,N,100.0,4.0,cs,4,Misc. ,N,0,,61.0
247877,9001094408,7899.82,I-5438,2.0,83.08,83.08,cs,41.54,GLOVE VINYL POWDER FREE MED,2023-03-03,GORDON FOOD SERVICE (GFS),51,B,N,800.0,100UN,26,40,SUPPLY,1165172,N,100.0,4.0,cs,4,Misc. ,N,0,,61.0
251363,9001385785,714.58,I-15334,1.0,59.52,59.52,CA,59.52,"ROLL PPR THERMAL 2.25""X60'",2023-04-05,GORDON FOOD SERVICE (GFS),82,B,N,100.0,CT,26,40,SUPPLY,1314080,N,1.0,100.0,CA,4,Misc. ,N,0,,61.0
249851,9001271332,7700.61,I-2428,4.0,42.56,42.56,cs,10.64,STRING BUTCHER MED WEIGHT #4R,2023-03-23,GORDON FOOD SERVICE (GFS),81,B,N,4.0,CT,26,40,SUPPLY,6750017,N,1.0,1.0,cs,4,Misc. ,N,0,,61.0
248596,9001132204,522.6,I-57553,1.0,93.52,93.52,cs,93.52,WIPER FS H/D WHT 13X21 INC,2023-03-08,GORDON FOOD SERVICE (GFS),41,B,Y,72.0,cs,26,40,SUPPLY,1356253,N,72.0,1.0,cs,4,Misc. ,N,0,,61.0
